region,date,median,lower_90,upper_90,lower_50,upper_50,confidence
Amazonas,2020-03-06,1,1,1,1,1,1
Amazonas,2020-03-07,0,0,0,0,0,1
Amazonas,2020-03-08,0,0,0,0,0,1
Amazonas,2020-03-09,1,0,1,1,1,1
Amazonas,2020-03-10,0,0,0,0,0,1
Amazonas,2020-03-11,0,0,1,0,0,1
Amazonas,2020-03-12,0,0,1,0,0,1
Amazonas,2020-03-13,0,0,1,0,0,1
Amazonas,2020-03-14,0,0,1,0,0,1
Amazonas,2020-03-15,0,0,1,0,0,1
Amazonas,2020-03-16,0,0,1,0,0,1
Amazonas,2020-03-17,0,0,1,0,0,1
Amazonas,2020-03-18,1,0,1,1,1,1
Amazonas,2020-03-19,0,0,1,0,0,1
Amazonas,2020-03-20,0,0,1,0,0,1
Amazonas,2020-03-21,0,0,1,0,0,1
Amazonas,2020-03-22,0,0,1,0,0,1
Amazonas,2020-03-23,0,0,1,0,0,1
Amazonas,2020-03-24,0,0,1,0,0,1
Amazonas,2020-03-25,0,0,1,0,0,1
Amazonas,2020-03-26,0,0,1,0,0,1
Amazonas,2020-03-27,0,0,1,0,0,1
Amazonas,2020-03-28,0,0,1,0,0,1
Amazonas,2020-03-29,0,0,1,0,0,1
Amazonas,2020-03-30,0,0,2,0,0,1
Amazonas,2020-03-31,1,0,2,0,1,1
Amazonas,2020-04-01,1,0,2,0,1,1
Amazonas,2020-04-02,1,0,2,0,1,1
Amazonas,2020-04-03,1,0,3,0,1,1
Amazonas,2020-04-04,1,0,3,0,1,1
Amazonas,2020-04-05,1,0,4,0,1,1
Amazonas,2020-04-06,2,0,4,1,2,1
Amazonas,2020-04-07,2,0,5,0,2,1
Amazonas,2020-04-08,3,0,6,1,3,1
Amazonas,2020-04-09,3,0,7,2,4,1
Amazonas,2020-04-10,4,0,8,1,4,1
Amazonas,2020-04-11,5,0,9,3,6,1
Amazonas,2020-04-12,7,1,11,3,7,1
Amazonas,2020-04-13,8,2,13,5,9,1
Amazonas,2020-04-14,10,4,16,5,10,1
Amazonas,2020-04-15,11,4,18,7,12,1
Amazonas,2020-04-16,14,7,21,10,15,1
Amazonas,2020-04-17,16,7,23,11,17,1
Amazonas,2020-04-18,18,10,26,14,20,1
Amazonas,2020-04-19,21,13,30,16,23,1
Amazonas,2020-04-20,24,14,32,19,26,1
Amazonas,2020-04-21,27,18,37,20,28,1
Amazonas,2020-04-22,30,19,39,26,33,1
Amazonas,2020-04-23,33,21,43,29,37,1
Amazonas,2020-04-24,37,25,48,30,39,1
Amazonas,2020-04-25,41,30,52,34,43,1
Amazonas,2020-04-26,45,32,56,38,48,1
Amazonas,2020-04-27,50,38,62,43,53,1
Amazonas,2020-04-28,54,40,65,47,57,1
Amazonas,2020-04-29,58,45,71,51,61,1
Amazonas,2020-04-30,62,49,74,57,67,1
Amazonas,2020-05-01,65,52,78,58,68,1
Amazonas,2020-05-02,68,54,80,63,73,1
Amazonas,2020-05-03,71,58,85,63,74,1
Amazonas,2020-05-04,71,57,84,66,76,1
Amazonas,2020-05-05,71,57,83,65,75,0.99
Amazonas,2020-05-06,71,57,83,64,74,0.99
Amazonas,2020-05-07,68,53,79,60,71,0.99
Amazonas,2020-05-08,65,52,78,60,69,0.99
Amazonas,2020-05-09,63,50,75,56,66,0.98
Amazonas,2020-05-10,60,49,73,53,63,0.98
Amazonas,2020-05-11,59,47,71,53,62,0.97
Amazonas,2020-05-12,59,47,72,52,62,0.96
Amazonas,2020-05-13,59,45,71,52,62,0.95
Amazonas,2020-05-14,59,48,72,55,64,0.94
Amazonas,2020-05-15,59,45,70,51,62,0.92
Amazonas,2020-05-16,58,45,70,52,62,0.9
Amazonas,2020-05-17,58,45,72,49,60,0.88
Amazonas,2020-05-18,60,45,76,53,65,0.84
Amazonas,2020-05-19,63,46,80,53,66,0.8
Antioquia,2020-02-29,1,1,1,1,1,1
Antioquia,2020-03-01,0,0,0,0,0,1
Antioquia,2020-03-02,0,0,0,0,0,1
Antioquia,2020-03-03,0.5,0,1,0,1,1
Antioquia,2020-03-04,0,0,0,0,0,1
Antioquia,2020-03-05,0,0,1,0,0,1
Antioquia,2020-03-06,0,0,1,0,0,1
Antioquia,2020-03-07,0.5,0,1,0,1,1
Antioquia,2020-03-08,0,0,1,0,0,1
Antioquia,2020-03-09,0,0,1,0,0,1
Antioquia,2020-03-10,1,0,1,1,1,1
Antioquia,2020-03-11,0,0,1,0,0,1
Antioquia,2020-03-12,0,0,1,0,0,1
Antioquia,2020-03-13,0,0,1,0,0,1
Antioquia,2020-03-14,0,0,1,0,0,1
Antioquia,2020-03-15,0,0,1,0,0,1
Antioquia,2020-03-16,0,0,1,0,0,1
Antioquia,2020-03-17,0,0,1,0,0,1
Antioquia,2020-03-18,0,0,1,0,0,1
Antioquia,2020-03-19,0,0,1,0,0,1
Antioquia,2020-03-20,0,0,1,0,0,1
Antioquia,2020-03-21,0,0,2,0,0,1
Antioquia,2020-03-22,1,0,2,0,1,1
Antioquia,2020-03-23,1,0,2,0,1,1
Antioquia,2020-03-24,1,0,2,0,1,1
Antioquia,2020-03-25,1,0,3,0,1,1
Antioquia,2020-03-26,1,0,3,0,1,1
Antioquia,2020-03-27,1,0,3,0,1,1
Antioquia,2020-03-28,2,0,4,1,2,1
Antioquia,2020-03-29,2,0,5,0,2,1
Antioquia,2020-03-30,3,0,6,1,3,1
Antioquia,2020-03-31,3,0,7,0,3,1
Antioquia,2020-04-01,4,0,8,1,4,1
Antioquia,2020-04-02,5,1,10,1,5,1
Antioquia,2020-04-03,7,2,12,3,7,1
Antioquia,2020-04-04,8,3,14,4,9,1
Antioquia,2020-04-05,10,3,16,6,11,1
Antioquia,2020-04-06,12,4,18,9,14,1
Antioquia,2020-04-07,15,7,22,10,16,1
Antioquia,2020-04-08,18,9,26,14,20,1
Antioquia,2020-04-09,21,12,29,16,23,1
Antioquia,2020-04-10,25,15,33,20,27,1
Antioquia,2020-04-11,29,18,37,24,31,1
Antioquia,2020-04-12,33,22,42,29,36,1
Antioquia,2020-04-13,36,26,47,31,39,1
Antioquia,2020-04-14,39,27,48,35,43,1
Antioquia,2020-04-15,40,27,51,36,45,1
Antioquia,2020-04-16,39,27,52,33,43,1
Antioquia,2020-04-17,35,22,49,29,39,1
Antioquia,2020-04-18,29,16,42,22,32,1
Antioquia,2020-04-19,21,9,31,15,23,1
Antioquia,2020-04-20,13,4,20,8,14,1
Antioquia,2020-04-21,7,3,12,3,7,1
Antioquia,2020-04-22,5,1,8,4,6,1
Antioquia,2020-04-23,4,1,7,3,5,1
Antioquia,2020-04-24,4,1,8,3,5,1
Antioquia,2020-04-25,4,1,8,2,5,1
Antioquia,2020-04-26,5,1,8,3,5,1
Antioquia,2020-04-27,5,2,9,2,5,1
Antioquia,2020-04-28,6,2,10,3,6,1
Antioquia,2020-04-29,6,1,10,4,7,1
Antioquia,2020-04-30,7,2,11,5,8,1
Antioquia,2020-05-01,8,2,12,6,9,1
Antioquia,2020-05-02,9,4,15,6,10,1
Antioquia,2020-05-03,10,4,16,6,11,1
Antioquia,2020-05-04,12,6,18,7,12,1
Antioquia,2020-05-05,13,7,20,9,14,0.99
Antioquia,2020-05-06,15,8,22,12,17,0.99
Antioquia,2020-05-07,17,8,24,12,18,0.99
Antioquia,2020-05-08,20,10,27,16,22,0.99
Antioquia,2020-05-09,22,13,31,17,24,0.98
Antioquia,2020-05-10,25,15,33,20,27,0.98
Antioquia,2020-05-11,28,18,38,22,30,0.97
Antioquia,2020-05-12,32,21,42,26,34,0.96
Antioquia,2020-05-13,36,24,46,29,38,0.95
Antioquia,2020-05-14,40.5,28,51,33,43,0.94
Antioquia,2020-05-15,45,32,57,37,47,0.92
Antioquia,2020-05-16,49,36,63,42,52,0.9
Antioquia,2020-05-17,53,38,66,46,57,0.87
Antioquia,2020-05-18,57,42,72,52,64,0.83
Antioquia,2020-05-19,58,41,74,49,62,0.78
Atlantico,2020-03-03,1,1,1,1,1,1
