region,date,median,lower_90,upper_90,lower_50,upper_50,confidence
Altayskiy kray,2020-02-07,1,1,1,1,1,1
Altayskiy kray,2020-02-08,0,0,0,0,0,1
Altayskiy kray,2020-02-09,0,0,0,0,0,1
Altayskiy kray,2020-02-10,0,0,0,0,0,1
Altayskiy kray,2020-02-11,0,0,0,0,0,1
Altayskiy kray,2020-02-12,0,0,0,0,0,1
Altayskiy kray,2020-02-13,0,0,0,0,0,1
Altayskiy kray,2020-02-14,0,0,0,0,0,1
Altayskiy kray,2020-02-15,0,0,0,0,0,1
Altayskiy kray,2020-02-16,0,0,0,0,0,1
Altayskiy kray,2020-02-17,0,0,0,0,0,1
Altayskiy kray,2020-02-18,0,0,0,0,0,1
Altayskiy kray,2020-02-19,1,1,1,1,1,1
Altayskiy kray,2020-02-20,0.5,0,1,0,1,1
Altayskiy kray,2020-02-21,0,0,0,0,0,1
Altayskiy kray,2020-02-22,0.5,0,1,0,1,1
Altayskiy kray,2020-02-23,0,0,0,0,0,1
Altayskiy kray,2020-02-24,0,0,0,0,0,1
Altayskiy kray,2020-02-25,0,0,1,0,0,1
Altayskiy kray,2020-02-26,0,0,1,0,0,1
Altayskiy kray,2020-02-27,0,0,1,0,0,1
Altayskiy kray,2020-02-28,0.5,0,1,0,1,1
Altayskiy kray,2020-02-29,0,0,1,0,0,1
Altayskiy kray,2020-03-01,0,0,1,0,0,1
Altayskiy kray,2020-03-02,0.5,0,1,0,1,1
Altayskiy kray,2020-03-03,0,0,1,0,0,1
Altayskiy kray,2020-03-04,0,0,1,0,0,1
Altayskiy kray,2020-03-05,0,0,1,0,0,1
Altayskiy kray,2020-03-06,0,0,1,0,0,1
Altayskiy kray,2020-03-07,0,0,1,0,0,1
Altayskiy kray,2020-03-08,0,0,1,0,0,1
Altayskiy kray,2020-03-09,0,0,1,0,0,1
Altayskiy kray,2020-03-10,0,0,1,0,0,1
Altayskiy kray,2020-03-11,0,0,1,0,0,1
Altayskiy kray,2020-03-12,0,0,1,0,0,1
Altayskiy kray,2020-03-13,0,0,1,0,0,1
Altayskiy kray,2020-03-14,0,0,1,0,0,1
Altayskiy kray,2020-03-15,0,0,1,0,0,1
Altayskiy kray,2020-03-16,0,0,1,0,0,1
Altayskiy kray,2020-03-17,0,0,2,0,0,1
Altayskiy kray,2020-03-18,1,0,2,0,1,1
Altayskiy kray,2020-03-19,1,0,2,0,1,1
Altayskiy kray,2020-03-20,1,0,2,0,1,1
Altayskiy kray,2020-03-21,1,0,3,0,1,1
Altayskiy kray,2020-03-22,1,0,3,0,1,1
Altayskiy kray,2020-03-23,1,0,3,0,1,1
Altayskiy kray,2020-03-24,2,0,4,1,2,1
Altayskiy kray,2020-03-25,2,0,4,1,2,1
Altayskiy kray,2020-03-26,2,0,5,0,2,1
Altayskiy kray,2020-03-27,3,0,5,1,3,1
Altayskiy kray,2020-03-28,3,1,6,1,3,1
Altayskiy kray,2020-03-29,4,0,6,2,4,1
Altayskiy kray,2020-03-30,4,1,7,2,4,1
Altayskiy kray,2020-03-31,4,1,8,1,4,1
Altayskiy kray,2020-04-01,5,2,9,2,5,1
Altayskiy kray,2020-04-02,6,1,9,3,6,1
Altayskiy kray,2020-04-03,6,2,10,4,7,1
Altayskiy kray,2020-04-04,7,2,11,3,7,1
Altayskiy kray,2020-04-05,8,3,13,4,8,1
Altayskiy kray,2020-04-06,9,3,14,6,10,1
Altayskiy kray,2020-04-07,11,5,16,8,12,1
Altayskiy kray,2020-04-08,12,6,18,7,12,1
Altayskiy kray,2020-04-09,14,7,20,10,15,1
Altayskiy kray,2020-04-10,15,8,22,12,17,1
Altayskiy kray,2020-04-11,18,11,25,13,19,1
Altayskiy kray,2020-04-12,20,13,28,15,21,1
Altayskiy kray,2020-04-13,22,14,29,18,24,1
Altayskiy kray,2020-04-14,24,16,32,19,25,1
Altayskiy kray,2020-04-15,26,16,33,22,28,1
Altayskiy kray,2020-04-16,28,19,35,25,31,1
Altayskiy kray,2020-04-17,29,19,36,24,31,1
Altayskiy kray,2020-04-18,31,22,39,25,32,1
Altayskiy kray,2020-04-19,31,22,39,26,33,1
Altayskiy kray,2020-04-20,32,22,40,27,34,1
Altayskiy kray,2020-04-21,33,23,41,27,34,1
Altayskiy kray,2020-04-22,32,22,40,27,34,1
Altayskiy kray,2020-04-23,31,22,39,27,33,1
Altayskiy kray,2020-04-24,31,22,39,26,33,1
Altayskiy kray,2020-04-25,31,22,38,26,33,1
Altayskiy kray,2020-04-26,31,22,39,26,33,1
Altayskiy kray,2020-04-27,31,21,39,26,33,1
Altayskiy kray,2020-04-28,31,21,38,25,32,0.99
Altayskiy kray,2020-04-29,30,20,38,24,31,0.99
Altayskiy kray,2020-04-30,30,22,39,25,32,0.99
Altayskiy kray,2020-05-01,30,21,39,25,32,0.99
Altayskiy kray,2020-05-02,31,22,40,25,32,0.98
Altayskiy kray,2020-05-03,33,22,41,26,34,0.98
Altayskiy kray,2020-05-04,34,23,42,30,37,0.97
Altayskiy kray,2020-05-05,36,25,45,30,38,0.97
Altayskiy kray,2020-05-06,38,27,48,31,40,0.96
Altayskiy kray,2020-05-07,40,28,49,32,41,0.94
Altayskiy kray,2020-05-08,42,31,52,35,44,0.93
Altayskiy kray,2020-05-09,44,32,55,37,46,0.91
Altayskiy kray,2020-05-10,45,32,56,39,48,0.88
Altayskiy kray,2020-05-11,48,35,59,40,50,0.85
Altayskiy kray,2020-05-12,49,37,63,43,53,0.81
Arkhangelsk oblast,2020-02-10,1,1,1,1,1,1
Arkhangelsk oblast,2020-02-11,0,0,0,0,0,1
Arkhangelsk oblast,2020-02-12,0.5,0,1,0,1,1
Arkhangelsk oblast,2020-02-13,0,0,0,0,0,1
Arkhangelsk oblast,2020-02-14,0,0,0,0,0,1
Arkhangelsk oblast,2020-02-15,0.5,0,1,0,1,1
Arkhangelsk oblast,2020-02-16,0,0,1,0,0,1
Arkhangelsk oblast,2020-02-17,0,0,0,0,0,1
Arkhangelsk oblast,2020-02-18,1,0,1,1,1,1
Arkhangelsk oblast,2020-02-19,0,0,1,0,0,1
Arkhangelsk oblast,2020-02-20,0,0,1,0,0,1
Arkhangelsk oblast,2020-02-21,0,0,0,0,0,1
Arkhangelsk oblast,2020-02-22,0,0,1,0,0,1
Arkhangelsk oblast,2020-02-23,0,0,1,0,0,1
Arkhangelsk oblast,2020-02-24,0,0,1,0,0,1
Arkhangelsk oblast,2020-02-25,0,0,1,0,0,1
Arkhangelsk oblast,2020-02-26,0,0,1,0,0,1
Arkhangelsk oblast,2020-02-27,0,0,1,0,0,1
Arkhangelsk oblast,2020-02-28,0,0,1,0,0,1
Arkhangelsk oblast,2020-02-29,0,0,1,0,0,1
Arkhangelsk oblast,2020-03-01,0,0,1,0,0,1
Arkhangelsk oblast,2020-03-02,0,0,1,0,0,1
Arkhangelsk oblast,2020-03-03,0,0,1,0,0,1
Arkhangelsk oblast,2020-03-04,0,0,1,0,0,1
Arkhangelsk oblast,2020-03-05,0,0,1,0,0,1
Arkhangelsk oblast,2020-03-06,0,0,1,0,0,1
Arkhangelsk oblast,2020-03-07,0,0,1,0,0,1
Arkhangelsk oblast,2020-03-08,0,0,1,0,0,1
Arkhangelsk oblast,2020-03-09,0,0,1,0,0,1
Arkhangelsk oblast,2020-03-10,0,0,1,0,0,1
Arkhangelsk oblast,2020-03-11,0,0,1,0,0,1
Arkhangelsk oblast,2020-03-12,0,0,1,0,0,1
Arkhangelsk oblast,2020-03-13,0,0,1,0,0,1
Arkhangelsk oblast,2020-03-14,0,0,1,0,0,1
Arkhangelsk oblast,2020-03-15,0,0,1,0,0,1
Arkhangelsk oblast,2020-03-16,0,0,2,0,0,1
Arkhangelsk oblast,2020-03-17,1,0,2,0,1,1
Arkhangelsk oblast,2020-03-18,1,0,2,0,1,1
Arkhangelsk oblast,2020-03-19,1,0,2,0,1,1
Arkhangelsk oblast,2020-03-20,1,0,2,0,1,1
Arkhangelsk oblast,2020-03-21,1,0,2,0,1,1
Arkhangelsk oblast,2020-03-22,1,0,3,0,1,1
