region,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
Altayskiy kray,2020-04-06,nowcast,1.5,0.9,2.2,1.3,1.8,0.06
Altayskiy kray,2020-04-07,nowcast,1.5,0.9,2.2,1.2,1.7,0.06
Altayskiy kray,2020-04-08,nowcast,1.5,1,2.1,1.3,1.7,0.04
Altayskiy kray,2020-04-09,nowcast,1.5,1,2.1,1.3,1.7,0.04
Altayskiy kray,2020-04-10,nowcast,1.6,1,2.2,1.3,1.8,0.03
Altayskiy kray,2020-04-11,nowcast,1.6,1.1,2.1,1.3,1.7,0.02
Altayskiy kray,2020-04-12,nowcast,1.5,1.1,2.1,1.4,1.7,0.01
Altayskiy kray,2020-04-13,nowcast,1.5,1.1,2,1.3,1.7,0.02
Altayskiy kray,2020-04-14,nowcast,1.5,1.1,1.9,1.3,1.7,0.02
Altayskiy kray,2020-04-15,nowcast,1.5,1.1,1.9,1.3,1.6,0.02
Altayskiy kray,2020-04-16,nowcast,1.4,1.1,1.8,1.3,1.6,0.03
Altayskiy kray,2020-04-17,nowcast,1.4,1,1.7,1.2,1.5,0.03
Altayskiy kray,2020-04-18,nowcast,1.3,1,1.7,1.2,1.5,0.05
Altayskiy kray,2020-04-19,nowcast,1.3,1,1.6,1.2,1.4,0.06
Altayskiy kray,2020-04-20,nowcast,1.3,0.9,1.6,1.1,1.4,0.09
Altayskiy kray,2020-04-21,nowcast,1.2,0.9,1.5,1.1,1.3,0.1
Altayskiy kray,2020-04-22,nowcast,1.2,0.9,1.4,1.1,1.3,0.17
Altayskiy kray,2020-04-23,nowcast,1.1,0.9,1.4,1,1.2,0.21
Altayskiy kray,2020-04-24,nowcast,1.1,0.8,1.3,1,1.2,0.31
Altayskiy kray,2020-04-25,nowcast,1.1,0.8,1.3,1,1.2,0.36
Altayskiy kray,2020-04-26,nowcast,1,0.8,1.3,0.9,1.1,0.42
Altayskiy kray,2020-04-27,nowcast,1,0.8,1.2,0.9,1.1,0.44
Altayskiy kray,2020-04-28,nowcast,1,0.8,1.2,0.9,1.1,0.46
Altayskiy kray,2020-04-29,nowcast,1,0.8,1.2,0.9,1.1,0.49
Altayskiy kray,2020-04-30,nowcast,1,0.8,1.2,0.9,1.1,0.53
Altayskiy kray,2020-05-01,nowcast,1,0.8,1.2,0.9,1.1,0.51
Altayskiy kray,2020-05-02,nowcast,1,0.8,1.2,0.9,1.1,0.47
Altayskiy kray,2020-05-03,nowcast,1,0.8,1.3,0.9,1.1,0.41
Altayskiy kray,2020-05-04,nowcast,1.1,0.8,1.3,1,1.1,0.33
Altayskiy kray,2020-05-05,nowcast,1.1,0.9,1.3,1,1.1,0.24
Altayskiy kray,2020-05-06,nowcast,1.1,0.9,1.4,1,1.2,0.18
Altayskiy kray,2020-05-07,nowcast,1.1,0.9,1.4,1,1.2,0.12
Altayskiy kray,2020-05-08,nowcast,1.2,0.9,1.4,1,1.2,0.1
Altayskiy kray,2020-05-09,nowcast,1.2,1,1.4,1.1,1.2,0.08
Altayskiy kray,2020-05-10,nowcast,1.2,0.9,1.4,1.1,1.2,0.09
Altayskiy kray,2020-05-11,nowcast,1.2,0.9,1.4,1.1,1.2,0.09
